equipe,division,prenom,nom,nom_jeu,nat,nat_ioc,an,age,pla,mon,spr,chr,pun,end,pav,moy,pot,points_ranking,rang_pcs,points_carriere,specialite_pcs,score_pave,poids,taille,slug
alpecin-premier-tech-2026,WorldTeam,Hugo,HOULE,H. Houle,CA,CAN,1990,36,58,62,44,63,59,68,51,59,59,42,898,2342,GC,0.0,72.0,1.82,hugo-houle
alpecin-premier-tech-2026,WorldTeam,Johan,PRICE-PEJTERSEN,J. Price-Pejtersen,DK,DEN,1999,27,69,50,47,78,54,69,57,61,61,37,960,320,TT,0.0,83.0,1.91,johan-price-pejtersen
alpecin-premier-tech-2026,WorldTeam,Maurice,BALLERSTEDT,M. Ballerstedt,DE,GER,2001,25,70,43,62,58,59,65,59,60,60,23,1182,303,Oneday,0.0,76.0,1.87,maurice-ballerstedt
alpecin-premier-tech-2026,WorldTeam,Oscar,RIESEBEEK,O. Riesebeek,NL,NED,1992,34,69,44,59,58,58,65,58,59,59,20,1240,1204,Oneday,0.0,78.0,1.91,oscar-riesebeek
alpecin-premier-tech-2026,WorldTeam,Kaden,GROVES,K. Groves,AU,AUS,1998,28,68,53,66,58,68,67,61,63,63,14,1486,3384,Hills,0.0,76.0,1.76,kaden-groves
alpecin-premier-tech-2026,WorldTeam,Aaron,DOCKX,A. Dockx,BE,BEL,2004,22,47,70,38,55,60,67,47,56,60,14,1499,80,Climber,0.0,56.0,1.73,aaron-dockx
alpecin-premier-tech-2026,WorldTeam,Lennert,BELMANS,L. Belmans,BE,BEL,2002,24,63,39,55,51,53,59,52,53,55,10,1656,12,Oneday,0.0,72.0,1.89,lennert-belmans
alpecin-premier-tech-2026,WorldTeam,Lindsay,DE VYLDER,L. de Vylder,BE,BEL,1995,31,67,40,61,53,56,62,56,56,56,0,,176,Oneday,0.0,70.0,1.83,lindsay-de-vylder
bahrain-victorious-2026,WorldTeam,Lenny,MARTINEZ,L. Martinez,FR,FRA,2003,23,65,93,54,74,81,87,68,76,81,1556,9,3868,Climber,23,52.0,1.68,lenny-martinez
bahrain-victorious-2026,WorldTeam,Pello,BILBAO,P. Bilbao,ES,ESP,1990,36,62,84,50,70,74,81,66,70,70,665,68,9172,Climber,39.6,60.0,1.74,pello-bilbao
bahrain-victorious-2026,WorldTeam,Afonso,EULÁLIO,A. Eulálio,PT,POR,2001,25,60,82,49,68,73,80,59,69,69,584,81,808,Climber,2.8,62.0,1.74,afonso-eulalio
bahrain-victorious-2026,WorldTeam,Antonio,TIBERI,A. Tiberi,IT,ITA,2001,25,66,82,51,74,72,81,60,71,71,539,96,2605,GC,0.0,62.0,1.82,antonio-tiberi
bahrain-victorious-2026,WorldTeam,Santiago,BUITRAGO,S. Buitrago,CO,COL,1999,27,62,86,51,71,76,83,59,72,72,513,98,3472,Climber,0.0,59.0,1.74,santiago-buitrago-sanchez
bahrain-victorious-2026,WorldTeam,Edoardo,ZAMBANINI,E. Zambanini,IT,ITA,2001,25,68,70,63,64,79,75,64,70,70,473,114,1535,Hills,0.0,62.0,1.81,edoardo-zambanini
bahrain-victorious-2026,WorldTeam,Alec,SEGAERT,A. Segaert,BE,BEL,2003,23,76,57,59,80,64,76,76,69,74,407,145,1404,TT,99.4,79.0,1.88,alec-segaert
bahrain-victorious-2026,WorldTeam,Matej,MOHORIČ,M. Mohorič,SI,SLO,1994,32,78,59,69,68,72,76,81,70,70,331,182,7217,Oneday,148.3,71.0,1.86,matej-mohoric
bahrain-victorious-2026,WorldTeam,Damiano,CARUSO,D. Caruso,IT,ITA,1987,39,59,76,45,67,66,74,53,64,64,303,206,7929,GC,0.0,67.0,1.79,damiano-caruso
bahrain-victorious-2026,WorldTeam,Pau,MIQUEL,P. Miquel,ES,ESP,2000,26,68,63,64,61,77,71,69,67,67,300,212,967,Hills,22.3,65.0,1.8,pau-miquel-delgado
bahrain-victorious-2026,WorldTeam,Jakob,OMRZEL,J. Omrzel,SI,SLO,2006,20,60,78,47,69,68,76,58,66,73,294,219,459,GC,0.0,62.0,1.85,jakob-omrzel
bahrain-victorious-2026,WorldTeam,Phil,BAUHAUS,P. Bauhaus,DE,GER,1994,32,79,45,85,60,63,70,72,67,67,178,376,3842,Sprint,8.7,75.0,1.84,phil-bauhaus
bahrain-victorious-2026,WorldTeam,Žak,ERŽEN,Ž. Eržen,SI,SLO,2005,21,74,47,69,60,63,69,66,64,70,157,410,216,Oneday,0.0,,,zak-erzen
bahrain-victorious-2026,WorldTeam,Matevž,GOVEKAR,M. Govekar,SI,SLO,2000,26,67,56,64,59,70,68,70,64,64,127,476,657,Hills,58.9,73.0,1.8,matevz-govekar
bahrain-victorious-2026,WorldTeam,Attila,VALTER,A. Valter,HU,HUN,1998,28,60,78,48,67,69,78,60,67,67,116,515,2366,Climber,11.6,65.0,1.85,attila-valter
bahrain-victorious-2026,WorldTeam,Vlad,VAN MECHELEN,V. van Mechelen,BE,BEL,2004,22,72,48,75,59,61,68,67,64,68,114,523,261,Sprint,13.7,73.0,1.83,vlad-van-mechelen
bahrain-victorious-2026,WorldTeam,Alessandro,BORGO,A. Borgo,IT,ITA,2005,21,71,43,76,54,58,65,63,61,67,100,561,143,Sprint,3.2,,1.83,alessandro-borgo
bahrain-victorious-2026,WorldTeam,Daniel,SKERL,D. Skerl,IT,ITA,2003,23,75,39,82,55,55,65,63,62,65,92,591,182,Sprint,0.0,80.0,1.77,daniel-skerl
bahrain-victorious-2026,WorldTeam,Robert,STANNARD,R. Stannard,AU,AUS,1998,28,64,61,60,59,72,68,63,64,64,83,633,567,Hills,10.8,74.0,1.79,robert-stannard
bahrain-victorious-2026,WorldTeam,Fran,MIHOLJEVIĆ,F. Miholjević,HR,CRO,2002,24,62,67,46,68,62,72,54,63,65,65,726,354,GC,0.0,72.0,1.89,fran-miholjevic
bahrain-victorious-2026,WorldTeam,Alberto,BRUTTOMESSO,A. Bruttomesso,IT,ITA,2003,23,71,43,77,54,58,65,61,61,64,65,727,205,Sprint,0.0,,1.79,alberto-bruttomesso
bahrain-victorious-2026,WorldTeam,Roman,ERMAKOV,R. Ermakov,SI,SLO,2004,22,70,48,60,59,61,67,61,61,65,62,749,124,Oneday,1.6,,,roman-ermakov
bahrain-victorious-2026,WorldTeam,Mathijs,PAASSCHENS,M. Paasschens,NL,NED,1996,30,64,64,51,67,62,72,56,63,63,60,755,468,GC,0.0,75.0,1.88,mathijs-paasschens
bahrain-victorious-2026,WorldTeam,Kamil,GRADEK,K. Gradek,PL,POL,1990,36,67,48,47,73,53,67,57,59,59,55,797,1102,TT,1.6,83.0,1.94,kamil-gradek
bahrain-victorious-2026,WorldTeam,Rainer,KEPPLINGER,R. Kepplinger,AT,AUT,1997,29,58,68,42,66,60,70,51,61,61,22,1209,406,GC,0.0,70.0,1.79,rainer-kepplinger
bahrain-victorious-2026,WorldTeam,Oliver,STOCKWELL,O. Stockwell,GB,GBR,2002,24,56,55,51,52,65,61,51,57,59,20,1255,69,Hills,0.0,,1.82,oliver-stockwell
bahrain-victorious-2026,WorldTeam,Nikias,ARNDT,N. Arndt,DE,GER,1991,35,62,53,56,57,65,64,55,60,60,15,1411,3151,Hills,0.0,77.5,1.87,nikias-arndt
bahrain-victorious-2026,WorldTeam,Max,VAN DER MEULEN,M. van der Meulen,NL,NED,2004,22,54,52,49,49,62,59,52,54,58,5,2021,55,Hills,0.0,67.0,1.83,max-van-der-meulen
decathlon-cma-cgm-team-2026,WorldTeam,Paul,SEIXAS,P. Seixas,FR,FRA,2006,20,67,89,55,76,79,87,71,76,85,2136,5,2381,Climber,44.7,64.0,1.86,paul-seixas
decathlon-cma-cgm-team-2026,WorldTeam,Felix,GALL,F. Gall,AT,AUT,1998,28,65,93,53,76,79,88,62,76,76,1339,16,4120,Climber,0.0,66.0,1.8,felix-gall
decathlon-cma-cgm-team-2026,WorldTeam,Tobias Lund,ANDRESEN,T. L. Andresen,DK,DEN,2002,24,84,57,78,70,74,78,87,74,78,1231,20,2656,Oneday,174.4,69.0,1.81,tobias-lund-andresen
decathlon-cma-cgm-team-2026,WorldTeam,Olav,KOOIJ,O. Kooij,NL,NED,2001,25,86,55,91,68,70,79,86,75,75,1013,29,5538,Sprint,84.9,72.0,1.84,olav-kooij
decathlon-cma-cgm-team-2026,WorldTeam,Matthew,RICCITELLO,M. Riccitello,US,USA,2002,24,61,90,49,71,76,84,58,72,76,893,41,1753,Climber,0.0,55.0,1.72,matthew-riccitello
decathlon-cma-cgm-team-2026,WorldTeam,Paul,LAPEIRA,P. Lapeira,FR,FRA,2000,26,78,60,70,68,74,76,73,71,71,715,63,1784,Oneday,11.8,64.0,1.76,paul-lapeira
decathlon-cma-cgm-team-2026,WorldTeam,Léo,BISIAUX,L. Bisiaux,FR,FRA,2005,21,58,81,47,66,71,78,57,67,73,366,163,601,Climber,0.0,58.0,1.81,leo-bisiaux
decathlon-cma-cgm-team-2026,WorldTeam,Noa,ISIDORE,N. Isidore,FR,FRA,2004,22,68,63,62,62,74,71,65,67,71,355,169,555,Hills,0.0,67.0,1.8,noa-isidore
decathlon-cma-cgm-team-2026,WorldTeam,Gregor,MÜHLBERGER,G. Mühlberger,AT,AUT,1994,32,63,79,50,70,70,78,58,68,68,308,202,2560,GC,0.0,64.0,1.8,gregor-muhlberger
decathlon-cma-cgm-team-2026,WorldTeam,Nicolas,PRODHOMME,N. Prodhomme,FR,FRA,1997,29,62,80,49,70,71,78,57,68,68,300,211,1565,GC,0.0,63.0,1.74,nicolas-prodhomme
decathlon-cma-cgm-team-2026,WorldTeam,Pierre,GAUTHERAT,P. Gautherat,FR,FRA,2003,23,78,51,70,65,67,73,77,67,70,291,225,1060,Oneday,72.4,70.0,1.77,pierre-gautherat
decathlon-cma-cgm-team-2026,WorldTeam,Tiesj,BENOOT,T. Benoot,BE,BEL,1994,32,77,60,68,68,72,76,81,70,70,285,229,8285,Oneday,198.8,72.0,1.9,tiesj-benoot
decathlon-cma-cgm-team-2026,WorldTeam,Antoine,L'HOTE,A. L'hote,FR,FRA,2005,21,65,67,53,69,64,74,58,65,71,282,234,387,GC,0.7,72.0,1.9,antoine-l-hote
decathlon-cma-cgm-team-2026,WorldTeam,Stan,DEWULF,S. Dewulf,BE,BEL,1997,29,78,54,69,67,69,74,77,68,68,272,246,1768,Oneday,62.1,74.0,1.76,stan-dewulf
decathlon-cma-cgm-team-2026,WorldTeam,Aurélien,PARET-PEINTRE,A. Paret-Peintre,FR,FRA,1996,30,64,79,51,71,71,79,64,69,69,255,266,3057,GC,18.9,64.0,1.84,aurelien-paret-peintre
decathlon-cma-cgm-team-2026,WorldTeam,Tord,GUDMESTAD,T. Gudmestad,NO,NOR,2001,25,79,43,83,60,60,70,67,66,66,238,281,620,Sprint,0.0,82.0,1.88,tord-gudmestad
decathlon-cma-cgm-team-2026,WorldTeam,Daan,HOOLE,D. Hoole,NL,NED,1999,27,74,55,55,81,60,74,71,66,66,203,335,910,TT,52.8,84.0,1.98,daan-hoole
decathlon-cma-cgm-team-2026,WorldTeam,Cees,BOL,C. Bol,NL,NED,1995,31,80,46,82,64,63,71,79,68,68,185,363,2567,Sprint,71.6,83.0,1.94,cees-bol
decathlon-cma-cgm-team-2026,WorldTeam,Oliver,NAESEN,O. Naesen,BE,BEL,1990,36,75,49,66,62,66,70,78,65,65,167,395,6452,Oneday,227.1,74.0,1.84,oliver-naesen
decathlon-cma-cgm-team-2026,WorldTeam,Stefan,BISSEGGER,S. Bissegger,CH,SUI,1998,28,74,55,56,80,62,74,76,67,67,151,420,2048,TT,149.5,78.0,1.81,stefan-bissegger
decathlon-cma-cgm-team-2026,WorldTeam,Rasmus Søjberg,PEDERSEN,R. S. Pedersen,DK,DEN,2002,24,75,43,80,57,59,68,70,64,66,146,433,392,Sprint,22,74.0,1.82,rasmus-sojbergpedersen
decathlon-cma-cgm-team-2026,WorldTeam,Jordan,LABROSSE,J. Labrosse,FR,FRA,2002,24,64,61,59,59,73,68,65,64,66,119,504,360,Hills,24.9,65.0,1.78,jordan-labrosse
decathlon-cma-cgm-team-2026,WorldTeam,Sander,DE PESTEL,S. de Pestel,BE,BEL,1998,28,74,48,63,64,63,69,68,64,64,84,629,372,Oneday,17.3,73.0,1.84,sander-de-pestel
decathlon-cma-cgm-team-2026,WorldTeam,Oscar,CHAMBERLAIN,O. Chamberlain,AU,AUS,2005,21,67,52,49,74,56,69,59,61,67,78,660,109,TT,0.0,74.0,1.94,oscar-chamberlain
decathlon-cma-cgm-team-2026,WorldTeam,Callum,SCOTSON,C. Scotson,AU,AUS,1996,30,63,69,47,69,62,74,55,64,64,77,662,671,GC,0.0,77.0,1.83,callum-scotson
decathlon-cma-cgm-team-2026,WorldTeam,Gianluca,POLLEFLIET,G. Pollefliet,BE,BEL,2002,24,73,39,80,54,54,65,61,61,63,58,780,203,Sprint,0.0,74.0,1.8,gianluca-pollefliet
decathlon-cma-cgm-team-2026,WorldTeam,Johannes,STAUNE-MITTET,J. Staune-Mittet,NO,NOR,2002,24,59,73,45,67,64,74,53,64,66,55,801,621,GC,0.0,67.0,1.82,johannes-staune-mittet
decathlon-cma-cgm-team-2026,WorldTeam,Robbe,GHYS,R. Ghys,BE,BEL,1997,29,68,41,61,55,57,63,57,58,58,10,1626,448,Oneday,0.0,72.0,1.82,robbe-ghys
decathlon-cma-cgm-team-2026,WorldTeam,Émilien,JACQUELIN,É. Jacquelin,FR,FRA,1995,31,53,44,45,50,51,56,45,50,50,0,,0,,0.0,78.0,1.86,emilien-jacquelin
ef-education-easypost-2026,WorldTeam,Richard,CARAPAZ,R. Carapaz,EC,ECU,1993,33,67,90,56,75,80,87,64,76,76,1351,15,9521,Climber,0.7,62.0,1.7,richard-carapaz
ef-education-easypost-2026,WorldTeam,Alex,BAUDIN,A. Baudin,FR,FRA,2001,25,64,81,54,71,75,81,60,71,71,739,60,1674,Climber,0.0,64.0,1.83,alex-baudin
ef-education-easypost-2026,WorldTeam,Ben,HEALY,B. Healy,IE,IRL,2000,26,64,83,52,71,75,82,69,71,71,468,119,3172,Climber,65.3,62.0,1.75,ben-healy
ef-education-easypost-2026,WorldTeam,Markel,BELOKI,M. Beloki,ES,ESP,2005,21,62,77,47,70,67,76,59,66,72,397,153,436,GC,0.0,,1.83,markel-beloki
ef-education-easypost-2026,WorldTeam,Michael,VALGREN,M. Valgren,DK,DEN,1992,34,75,57,66,66,71,73,78,68,68,354,170,4997,Oneday,110.8,71.0,1.79,michael-valgren-andersen
ef-education-easypost-2026,WorldTeam,Georg,STEINHAUSER,G. Steinhauser,DE,GER,2001,25,60,79,49,68,70,79,56,68,68,313,196,995,Climber,0.0,70.0,1.89,georg-steinhauser
ef-education-easypost-2026,WorldTeam,Mikkel Frølich,HONORÉ,M. F. Honoré,DK,DEN,1997,29,75,59,66,66,71,74,69,68,68,296,216,2202,Oneday,7.1,68.0,1.85,mikkel-honore
ef-education-easypost-2026,WorldTeam,Noah,HOBBS,N. Hobbs,GB,GBR,2004,22,76,46,83,57,62,69,69,66,70,279,237,443,Sprint,0.0,67.0,1.75,noah-hobbs
ef-education-easypost-2026,WorldTeam,Luke,LAMPERTI,L. Lamperti,US,USA,2002,24,78,47,82,61,65,70,80,67,69,265,252,1241,Sprint,112,74.0,1.8,luke-lamperti
ef-education-easypost-2026,WorldTeam,Madis,MIHKELS,M. Mihkels,EE,EST,2003,23,78,49,72,64,66,72,78,67,70,242,274,1191,Oneday,89.7,75.0,1.84,madis-mihkels
ef-education-easypost-2026,WorldTeam,Lukas,NERURKAR,L. Nerurkar,GB,GBR,2003,23,66,65,60,61,76,71,61,66,69,238,282,729,Hills,0.0,,1.77,lukas-nerurkar
ef-education-easypost-2026,WorldTeam,Sean,QUINN,S. Quinn,US,USA,2000,26,62,75,49,69,67,75,56,66,66,213,311,670,GC,0.0,67.0,1.87,sean-quinn
ef-education-easypost-2026,WorldTeam,Jefferson Alexander,CEPEDA,J. A. Cepeda,EC,ECU,1998,28,60,81,46,68,69,77,55,67,67,189,355,1216,GC,0.0,56.0,1.64,jefferson-alexander-cepeda
ef-education-easypost-2026,WorldTeam,Marijn,VAN DEN BERG,M. van den Berg,NL,NED,1999,27,71,60,68,63,73,72,74,68,68,186,359,2179,Hills,69.8,73.0,1.82,marijn-van-den-berg
ef-education-easypost-2026,WorldTeam,Harry,SWEENY,H. Sweeny,AU,AUS,1998,28,65,69,51,70,65,74,59,66,66,182,372,777,GC,0.9,75.0,1.86,harry-sweeny
ef-education-easypost-2026,WorldTeam,Neilson,POWLESS,N. Powless,US,USA,1996,30,74,61,64,67,71,75,75,69,69,177,378,4945,Oneday,65,67.0,1.83,neilson-powless
ef-education-easypost-2026,WorldTeam,Vincenzo,ALBANESE,V. Albanese,IT,ITA,1996,30,69,63,65,62,76,72,74,68,68,168,394,2515,Hills,75.7,70.0,1.75,vincenzo-albanese
ef-education-easypost-2026,WorldTeam,Michael,LEONARD,M. Leonard,CA,CAN,2004,22,68,58,50,75,61,72,61,64,68,122,492,228,TT,0.0,65.0,1.77,michael-leonard1
ef-education-easypost-2026,WorldTeam,James,SHAW,J. Shaw,GB,GBR,1996,30,59,75,46,67,66,74,54,64,64,118,508,991,GC,0.0,63.0,1.79,james-shaw
ef-education-easypost-2026,WorldTeam,Jardi Christiaan,VAN DER LEE,J. C. van der Lee,NL,NED,2001,25,59,72,45,66,64,73,53,63,63,115,520,196,GC,0.0,,1.85,jardi-christiaan-van-der-lee
ef-education-easypost-2026,WorldTeam,Kasper,ASGREEN,K. Asgreen,DK,DEN,1995,31,73,57,57,78,64,74,69,67,67,105,540,4182,TT,22.2,75.0,1.93,kasper-asgreen
ef-education-easypost-2026,WorldTeam,Max,WALKER,M. Walker,GB,GBR,2001,25,68,54,50,74,58,70,57,62,62,67,709,289,TT,0.0,,,max-walker
ef-education-easypost-2026,WorldTeam,Darren,RAFFERTY,D. Rafferty,IE,IRL,2003,23,65,58,49,72,62,71,57,63,66,63,743,362,TT,0.0,65.0,1.76,darren-rafferty
ef-education-easypost-2026,WorldTeam,Juan Felipe,RODRIGUEZ,J. F. Rodriguez,CO,COL,2003,23,56,70,42,63,61,70,50,60,63,59,772,98,GC,0.0,,,juan-felipe-rodriguez
ef-education-easypost-2026,WorldTeam,Archie,RYAN,A. Ryan,IE,IRL,2001,25,55,78,45,62,69,74,52,64,64,47,858,773,Climber,0.0,56.0,1.72,archie-ryan
ef-education-easypost-2026,WorldTeam,Colby,SIMMONS,C. Simmons,US,USA,2003,23,70,42,75,53,56,64,60,60,63,45,876,150,Sprint,0.0,68.0,1.85,colby-simmons
ef-education-easypost-2026,WorldTeam,Alastair,MACKELLAR,A. Mackellar,AU,AUS,2002,24,63,53,47,69,57,67,54,59,61,42,901,120,TT,0.0,69.0,1.84,alastair-mackellar
ef-education-easypost-2026,WorldTeam,Matthias,SCHWARZBACHER,M. Schwarzbacher,SK,SVK,2005,21,65,48,49,68,53,65,57,58,64,28,1096,142,TT,0.0,72.0,1.83,matthias-schwarzbacher
ef-education-easypost-2026,WorldTeam,Samuele,BATTISTELLA,S. Battistella,IT,ITA,1998,28,61,61,55,57,71,67,56,62,62,19,1286,1423,Hills,0.0,67.0,1.8,samuele-battistella
ef-education-easypost-2026,WorldTeam,Filippo,AGOSTINACCHIO,F. Agostinacchio,IT,ITA,2003,23,55,52,52,49,63,59,50,55,58,13,1527,36,Hills,0.0,66.0,1.75,filippo-agostinacchio
ef-education-easypost-2026,WorldTeam,Mattia,AGOSTINACCHIO,M. Agostinacchio,IT,ITA,2007,19,52,47,44,49,53,56,48,50,58,0,,0,,0.0,67.0,1.75,mattia-agostinacchio
groupama-fdj-united-2026,WorldTeam,Romain,GRÉGOIRE,R. Grégoire,FR,FRA,2003,23,79,67,71,71,78,80,79,74,79,1174,22,3626,Oneday,49.8,64.0,1.76,romain-gregoire
groupama-fdj-united-2026,WorldTeam,Paul,PENHOËT,P. Penhoët,FR,FRA,2001,25,80,54,76,66,70,75,76,70,70,468,120,1984,Oneday,27.5,64.0,1.73,paul-penhoet
groupama-fdj-united-2026,WorldTeam,Thibaud,GRUEL,T. Gruel,FR,FRA,2004,22,70,64,64,65,75,73,71,68,74,454,125,961,Hills,36.7,70.0,1.8,thibaud-gruel
groupama-fdj-united-2026,WorldTeam,Ewen,COSTIOU,E. Costiou,FR,FRA,2002,24,66,75,52,71,70,77,59,68,72,417,140,1147,GC,0.0,64.0,1.76,ewen-costiou
groupama-fdj-united-2026,WorldTeam,Axel,HUENS,A. Huens,FR,FRA,2001,25,76,51,70,63,67,72,76,66,66,309,200,484,Oneday,72,,,axel-huens
groupama-fdj-united-2026,WorldTeam,Clément,BRAZ AFONSO,C. Braz Afonso,FR,FRA,1999,27,57,82,47,64,73,77,58,67,67,304,205,577,Climber,8.5,50.0,1.63,clement-braz-afonso
groupama-fdj-united-2026,WorldTeam,Guillaume,MARTIN,G. Martin,FR,FRA,1993,33,60,84,50,68,74,81,57,70,70,276,242,7844,Climber,0.0,55.0,1.73,guillaume-martin
groupama-fdj-united-2026,WorldTeam,Rémi,CAVAGNA,R. Cavagna,FR,FRA,1995,31,75,59,56,82,64,76,64,69,69,219,302,2841,TT,0.0,78.0,1.86,remi-cavagna
groupama-fdj-united-2026,WorldTeam,Valentin,MADOUAS,V. Madouas,FR,FRA,1996,30,77,60,68,67,73,76,79,70,70,215,306,5140,Oneday,104.9,71.0,1.79,valentin-madouas
groupama-fdj-united-2026,WorldTeam,Rudy,MOLARD,R. Molard,FR,FRA,1989,37,56,74,46,63,67,74,52,63,63,210,318,3787,Climber,0.0,62.0,1.78,rudy-molard
groupama-fdj-united-2026,WorldTeam,Clément,BERTHET,C. Berthet,FR,FRA,1997,29,61,78,49,67,70,78,56,67,67,207,326,1548,Climber,0.0,68.0,1.84,clement-berthet
groupama-fdj-united-2026,WorldTeam,David,GAUDU,D. Gaudu,FR,FRA,1996,30,60,87,50,69,76,82,57,71,71,206,327,6428,Climber,0.0,53.0,1.72,david-gaudu
groupama-fdj-united-2026,WorldTeam,Clément,RUSSO,C. Russo,FR,FRA,1995,31,78,49,71,65,65,72,73,67,67,195,347,1134,Oneday,27.1,74.0,1.87,clement-russo
groupama-fdj-united-2026,WorldTeam,Brieuc,ROLLAND,B. Rolland,FR,FRA,2003,23,55,79,45,63,69,75,52,64,67,182,375,385,Climber,0.0,59.0,1.79,brieuc-rolland
groupama-fdj-united-2026,WorldTeam,Maxime,DECOMBLE,M. Decomble,FR,FRA,2005,21,68,58,51,74,61,72,61,64,70,173,387,227,TT,0.0,62.0,1.74,maxime-decomble
groupama-fdj-united-2026,WorldTeam,Lorenzo,GERMANI,L. Germani,IT,ITA,2002,24,61,71,47,67,65,73,54,64,66,123,486,371,GC,0.0,62.0,1.79,lorenzo-germani
groupama-fdj-united-2026,WorldTeam,Johan,JACOBS,J. Jacobs,CH,SUI,1997,29,75,48,65,63,64,70,69,64,64,119,502,475,Oneday,21.6,78.0,1.92,johan-jacobs
groupama-fdj-united-2026,WorldTeam,Josh,KENCH,J. Kench,NZ,NZL,2001,25,61,70,47,67,63,73,54,64,64,100,560,244,GC,0.0,,,josh-kench
